Product_Name,Sex,Listing_Price,Sale_Price,Price_Difference,Discount,Brand,Catetory_Production,Rating,Reviews
"MEN'S ADIDAS ORIGINALS X_PLR SHOES",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",4.7,21
"Men's adidas Originals Tubular Dusk Shoes",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",4.2,40
"Men's adidas Outdoor Adipu 2019 Sandals",Male,2999,1799,1200,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.7,51
"Men's adidas Running Nayo 2.0 Shoes",Male,5299,2649,2650,50%,ADIDAS,"ADIDAS CORE/NEO",4.2,35
"Men's adidas Originals X_PLR Shoes",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",2.5,47
"Men's adidas Running UltraBoost Shoes",Male,19999,13999,6000,30%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.8,38
"Men's adidas Sport Inspired Netpoint Shoes",Male,6599,3959,2640,40%,ADIDAS,"ADIDAS CORE/NEO",1,18
"Men's adidas Sport Inspired Court 70s Shoes",Male,5599,2799,2800,50%,ADIDAS,"ADIDAS CORE/NEO",4.4,37
"Men's adidas Sport Inspired VS Advantage Clean Shoes",Male,4599,2299,2300,50%,ADIDAS,"ADIDAS CORE/NEO",3.3,26
"Men's adidas RunFalcon Shoes",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",1,89
"MEN'S ADIDAS SPORT INSPIRED COURT 70S SHOES",Male,5599,2799,2800,50%,ADIDAS,"ADIDAS CORE/NEO",2.2,19
"MEN'S ADIDAS SPORT INSPIRED CAFLAIRE SHOES",Male,5599,2799,2800,50%,ADIDAS,"ADIDAS CORE/NEO",1,9
"MEN'S ADIDAS SPORT INSPIRED COURT 70S SHOES",Male,5599,2799,2800,50%,ADIDAS,"ADIDAS CORE/NEO",1,4
"Men's adidas Swim Gadi Slippers",Male,1499,749,750,50%,ADIDAS,"ADIDAS CORE/NEO",4.2,36
"Men's adidas Originals Samba OG Shoes",Male,8999,5399,3600,40%,ADIDAS,"ADIDAS ORIGINALS",1.5,78
"Men's adidas Outdoor Terrex Tracerocker GTX Shoes",Male,9999,5999,4000,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.6,10
"Men's adidas Outdoor Storm Raiser II Shoes",Male,4799,2879,1920,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",1,21
"Men's adidas Originals Nite Jogger Shoes",Male,12999,9099,3900,30%,ADIDAS,"ADIDAS ORIGINALS",2.6,54
"Men's adidas Originals Stan Smith Shoes",Male,10999,10999,0,0%,ADIDAS,"ADIDAS ORIGINALS",0,68
"MEN'S ADIDAS ORIGINALS CONTINENTAL 80 SHOES",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS ORIGINALS",2.4,35
"Men's adidas Running Bound Shoes",Male,4999,2499,2500,50%,ADIDAS,"ADIDAS CORE/NEO",4.3,24
"Men's adidas Sport Inspired Questar Rise Shoes",Male,6999,3499,3500,50%,ADIDAS,"ADIDAS CORE/NEO",1.5,52
"Men's adidas Sport Inspired Strikerr Shoes",Male,4599,2759,1840,40%,ADIDAS,"ADIDAS CORE/NEO",3.7,10
"Men's adidas Sport Inspired Nebular 2 Shoes",Male,4999,2499,2500,50%,ADIDAS,"ADIDAS CORE/NEO",4.6,87
"Men's adidas Sport Inspired Nebular 2 Shoes",Male,4999,2499,2500,50%,ADIDAS,"ADIDAS CORE/NEO",4.1,83
"Men's adidas Running 90s Valasion Shoes",Male,8999,4499,4500,50%,ADIDAS,"ADIDAS CORE/NEO",2.2,76
"Men's adidas Football Predator 19.1 Firm Ground Cleats",Male,14999,8999,6000,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",3.5,34
"Men's adidas Outdoor Hoist 2019 Sandals",Male,2799,1679,1120,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",3.2,3
"Men's adidas Outdoor Mode Sandals",Male,2499,1249,1250,50%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2.9,50
"Men's adidas Outdoor Naha Shoes",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.8,23
"Men's adidas Outdoor Mode Sandals",Male,2499,1249,1250,50%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2.8,23
"Men's adidas Tennis Wucht Indoor Shoes",Male,4599,2759,1840,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",3.8,58
"Men's adidas Basketball Pro Bounce 2019 Shoes",Male,12999,7799,5200,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",3.8,1
"Men's adidas Basketball N3XT L3V3L Shoes",Male,16999,10199,6800,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",3.2,43
"Men's adidas Tennis Gumption III Shoes",Male,4299,2579,1720,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.2,74
"Men's adidas Comfort Flip Flops",Male,2799,2799,0,0%,ADIDAS,"ADIDAS CORE/NEO",4.2,98
"Men's adidas Tennis Gumption III Shoes",Male,4299,2579,1720,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.5,73
"Men's Outdoor Terra Light Sandals",Male,3599,3599,0,0%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2.4,16
"MEN'S ADIDAS RUNNING SOLAR DRIVE SHOES",Male,10999,6599,4400,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2.2,88
"MEN'S ADIDAS ORIGINALS MARATHON X 5923 SHOES",Male,12999,6499,6500,50%,ADIDAS,"ADIDAS ORIGINALS",2.6,31
"Men's adidas Running SenseBounce+ Street Shoes",Male,7999,4799,3200,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2.8,41
"Men's adidas Running Alphabounce+ Parley Shoes",Male,9999,5999,4000,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",1.5,2
